Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Interest_Rate,Debt_To_Income_Ratio,Education_Level,Marital_Status,Previous_Loans,Default
53,Male,1149000.0,680,1194000.0,48,Self-employed,9.6,10.8,Master,Married,4,0
40,Female,510000.0,791,407000.0,48,Employed,5.27,5.0,PhD,Single,1,0
33,Female,2000000.0,797,993000.0,36,Employed,5.09,3.0,High School,Married,2,0
49,Female,1428000.0,623,698000.0,24,Employed,10.31,5.4,Bachelor,Married,3,0
43,Female,788000.0,610,651000.0,24,Self-employed,11.7,10.1,Bachelor,Married,2,0
34,Female,514000.0,690,1233000.0,48,Self-employed,9.3,24.4,PhD,Married,2,1
45,Female,937000.0,799,616000.0,60,Employed,5.03,4.4,Master,Single,4,0
29,Male,555000.0,647,447000.0,24,Self-employed,10.59,10.4,Bachelor,Married,1,0
58,Female,1024000.0,727,573000.0,12,Employed,7.19,5.4,High School,Married,0,0
39,Female,956000.0,741,460000.0,36,Self-employed,7.77,4.5,Bachelor,Single,0,0
49,Female,684000.0,760,377000.0,12,Employed,6.2,7.7,Bachelor,Single,4,0
40,Male,1221000.0,706,395000.0,48,Self-employed,8.82,3.8,Master,Married,1,0
45,Male,1108000.0,668,1435000.0,36,Employed,8.96,13.7,Bachelor,Single,0,0
46,Male,1177000.0,829,413000.0,36,Employed,4.13,1.9,Bachelor,Married,3,0
36,Male,835000.0,717,523000.0,36,Employed,7.49,5.6,High School,Married,1,1
63,Male,660000.0,746,296000.0,36,Employed,6.62,5.5,High School,Married,3,1
52,Female,1196000.0,653,543000.0,24,Employed,9.41,5.2,Bachelor,Married,1,1
60,Male,842000.0,731,1179000.0,48,Employed,7.07,10.7,Bachelor,Married,3,1
57,Male,646000.0,629,453000.0,36,Employed,10.13,7.8,Bachelor,Married,0,1
47,Male,1349000.0,625,575000.0,36,Unemployed,12.25,6.5,Master,Married,3,1
59,Female,1830000.0,743,1026000.0,36,Self-employed,7.71,5.2,High School,Married,3,0
32,Male,811000.0,696,404000.0,12,Self-employed,9.12,6.2,Bachelor,Single,0,0
37,Male,1808000.0,735,1270000.0,12,Employed,6.95,5.4,PhD,Single,0,0
30,Male,838000.0,633,582000.0,36,Employed,10.01,7.8,Bachelor,Married,1,0
40,Male,758000.0,714,1376000.0,36,Employed,7.58,15.3,Bachelor,Married,1,1
42,Female,716000.0,678,236000.0,36,Employed,8.66,3.7,Bachelor,Married,3,1
39,Female,1476000.0,714,1019000.0,48,Self-employed,8.58,6.5,Bachelor,Single,1,1
54,Male,726000.0,639,409000.0,36,Self-employed,10.83,9.2,High School,Divorced,0,0
41,Male,1070000.0,743,1216000.0,36,Employed,6.71,8.1,High School,Married,1,0
39,Female,720000.0,768,628000.0,24,Self-employed,6.96,8.4,High School,Married,1,0
46,Male,760000.0,630,641000.0,48,Employed,10.1,11.9,Master,Married,1,0
35,Male,1167000.0,641,887000.0,36,Employed,9.77,9.0,Bachelor,Married,2,1
53,Male,797000.0,729,385000.0,12,Unemployed,9.13,6.2,PhD,Divorced,1,1
31,Female,726000.0,738,940000.0,36,Employed,6.86,10.2,Master,Single,0,1
66,Male,1304000.0,740,1372000.0,36,Employed,6.8,7.8,Master,Married,5,0
52,Male,1492000.0,735,1656000.0,48,Employed,6.95,8.0,Master,Married,3,0
37,Female,1026000.0,665,1264000.0,60,Employed,9.05,12.3,High School,Married,2,1
25,Male,660000.0,666,534000.0,36,Employed,9.02,8.8,Bachelor,Married,1,0
54,Male,774000.0,628,1025000.0,48,Employed,10.16,14.5,PhD,Married,1,1
50,Female,895000.0,594,654000.0,12,Employed,11.18,9.5,High School,Divorced,2,0
51,Male,965000.0,737,629000.0,36,Employed,6.89,5.8,Bachelor,Divorced,3,0
52,Female,686000.0,564,405000.0,48,Employed,12.08,8.4,High School,Single,3,1
31,Male,1036000.0,815,794000.0,36,Self-employed,5.55,6.8,Bachelor,Single,0,0
41,Male,870000.0,774,518000.0,36,Employed,5.78,5.4,High School,Married,3,0
34,Male,539000.0,784,911000.0,48,Employed,5.48,12.7,Bachelor,Divorced,2,0
56,Male,707000.0,801,619000.0,24,Employed,4.97,6.0,Master,Married,3,0
48,Male,758000.0,669,529000.0,12,Self-employed,9.93,9.0,High School,Single,1,0
41,Female,830000.0,780,744000.0,36,Employed,5.6,5.9,Master,Married,1,0
31,Male,1604000.0,595,3000000.0,48,Unemployed,13.15,25.6,High School,Single,1,0
40,Male,908000.0,495,310000.0,48,Employed,14.15,6.0,High School,Married,1,0
40,Male,673000.0,762,348000.0,36,Employed,6.14,4.2,Bachelor,Married,0,0
51,Female,936000.0,552,315000.0,48,Employed,12.44,5.5,Master,Married,1,0
48,Male,788000.0,842,565000.0,48,Employed,3.74,4.0,PhD,Divorced,1,0
57,Male,984000.0,733,787000.0,12,Employed,7.01,9.5,High School,Married,2,0
44,Male,1025000.0,753,611000.0,48,Employed,6.41,5.3,High School,Single,0,0
34,Male,1242000.0,625,626000.0,24,Employed,10.25,7.3,Master,Married,1,1
50,Male,869000.0,732,662000.0,24,Employed,7.04,7.8,Master,Married,1,0
52,Female,1516000.0,525,688000.0,36,Employed,13.25,6.8,High School,Married,1,0
46,Male,1150000.0,777,991000.0,36,Employed,5.69,5.7,Bachelor,Married,4,0
52,Male,732000.0,599,774000.0,36,Employed,11.03,12.3,PhD,Married,1,0
45,Male,1870000.0,738,1849000.0,24,Employed,6.86,7.2,High School,Divorced,0,0
45,Female,949000.0,619,913000.0,24,Employed,10.43,11.8,High School,Married,1,1
43,Male,683000.0,547,669000.0,12,Employed,12.59,13.8,Bachelor,Divorced,1,1
28,Male,1452000.0,687,1127000.0,36,Employed,8.39,7.5,Master,Single,1,0
33,Male,1737000.0,599,999000.0,48,Employed,11.03,6.6,High School,Married,0,0
28,Male,801000.0,746,419000.0,48,Employed,6.62,5.3,Master,Single,0,1
48,Male,758000.0,623,406000.0,48,Self-employed,11.31,8.8,Master,Single,1,0
40,Male,804000.0,653,421000.0,36,Self-employed,10.41,6.1,Bachelor,Married,2,1
45,Male,1075000.0,707,1057000.0,48,Employed,7.79,9.0,High School,Single,4,0
58,Male,1346000.0,637,1019000.0,24,Employed,9.89,9.2,PhD,Single,4,0
38,Male,1004000.0,662,925000.0,12,Employed,9.14,11.2,Bachelor,Single,2,0
43,Male,880000.0,770,407000.0,36,Unemployed,7.9,4.7,Bachelor,Married,2,1
52,Male,1438000.0,603,1803000.0,36,Employed,10.91,14.9,PhD,Single,1,0
38,Female,767000.0,557,374000.0,48,Employed,12.29,9.2,PhD,Married,1,0
32,Female,1158000.0,649,483000.0,36,Employed,9.53,5.2,Bachelor,Married,1,0
39,Female,775000.0,673,430000.0,24,Employed,8.81,7.8,Bachelor,Married,1,0
35,Female,950000.0,701,2351000.0,48,Employed,7.97,21.0,High School,Single,3,0
59,Female,874000.0,660,488000.0,36,Self-employed,10.2,7.4,PhD,Married,4,0
53,Female,870000.0,763,556000.0,48,Employed,6.11,4.9,Master,Married,2,0
48,Male,783000.0,520,403000.0,48,Employed,13.4,8.3,Bachelor,Married,3,1
56,Female,1372000.0,675,864000.0,24,Employed,8.75,6.6,Master,Married,1,1
53,Male,731000.0,663,349000.0,12,Employed,9.11,5.5,Master,Married,2,1
36,Male,678000.0,726,514000.0,24,Employed,7.22,7.1,High School,Married,1,0
57,Female,1840000.0,829,2426000.0,12,Employed,4.13,6.4,Master,Single,1,1
46,Male,1178000.0,694,935000.0,24,Employed,8.18,9.3,Bachelor,Married,2,1
53,Male,536000.0,841,270000.0,36,Employed,3.77,2.7,Master,Single,1,0
57,Female,773000.0,642,431000.0,60,Self-employed,10.74,10.2,High School,Married,4,0
40,Male,547000.0,510,238000.0,48,Employed,13.7,7.9,Master,Married,1,0
33,Male,635000.0,598,401000.0,48,Employed,11.06,10.0,Bachelor,Divorced,0,0
38,Female,443000.0,666,566000.0,12,Employed,9.02,16.4,High School,Divorced,1,1
43,Female,821000.0,646,501000.0,36,Employed,9.62,9.1,High School,Divorced,0,0
54,Male,669000.0,566,382000.0,36,Employed,12.02,8.1,Master,Single,0,0
55,Male,905000.0,675,1479000.0,24,Employed,8.75,15.5,High School,Married,1,0
26,Male,525000.0,651,522000.0,48,Employed,9.47,11.6,Master,Single,1,0
45,Female,881000.0,579,695000.0,60,Employed,11.63,10.3,Bachelor,Married,2,1
43,Male,760000.0,640,1318000.0,36,Employed,9.8,20.0,Master,Married,2,0
37,Male,1396000.0,794,1332000.0,48,Employed,5.18,5.8,Bachelor,Single,2,0
34,Male,1340000.0,642,415000.0,24,Self-employed,10.74,3.7,Bachelor,Married,1,0
41,Male,1088000.0,742,1166000.0,36,Employed,6.74,8.0,High School,Divorced,2,0
60,Female,830000.0,717,314000.0,12,Employed,7.49,3.5,Bachelor,Married,4,0
40,Male,1694000.0,674,1404000.0,24,Employed,8.78,7.9,Master,Married,0,0
45,Female,590000.0,623,194000.0,48,Employed,10.31,6.2,Master,Divorced,1,0
50,Male,623000.0,659,336000.0,48,Employed,9.23,6.4,High School,Married,3,0
41,Female,827000.0,713,494000.0,36,Employed,7.61,5.7,Master,Divorced,2,0
63,Female,1957000.0,655,931000.0,36,Employed,9.35,5.0,High School,Divorced,1,1
62,Male,863000.0,616,467000.0,36,Employed,10.52,7.2,High School,Married,3,0
38,Male,795000.0,576,785000.0,48,Self-employed,12.72,14.5,Bachelor,Married,0,0
45,Female,603000.0,791,337000.0,60,Self-employed,6.27,6.5,Bachelor,Married,2,0
40,Female,1147000.0,677,998000.0,48,Self-employed,9.69,11.7,Master,Married,0,0
39,Male,1147000.0,721,543000.0,48,Unemployed,9.37,5.5,PhD,Single,3,0
29,Female,1054000.0,689,662000.0,36,Employed,8.33,6.9,High School,Single,0,0
47,Female,731000.0,789,641000.0,36,Employed,5.33,5.4,Bachelor,Single,3,0
45,Female,711000.0,702,326000.0,24,Employed,7.94,5.0,PhD,Married,0,0
30,Female,577000.0,687,233000.0,24,Self-employed,9.39,5.6,High School,Married,2,1
39,Male,863000.0,809,836000.0,48,Employed,4.73,5.4,Bachelor,Single,3,0
58,Male,690000.0,744,859000.0,48,Employed,6.68,9.6,High School,Married,1,0
38,Male,617000.0,574,357000.0,36,Employed,11.78,8.7,Master,Married,0,0
35,Female,735000.0,602,373000.0,36,Employed,10.94,6.8,Master,Married,2,1
45,Female,752000.0,762,594000.0,12,Employed,6.14,10.7,Master,Single,0,0
66,Female,805000.0,777,617000.0,36,Employed,5.69,6.3,Bachelor,Married,6,1
38,Male,970000.0,702,751000.0,36,Self-employed,8.94,10.3,Master,Single,3,1
49,Male,892000.0,704,257000.0,36,Employed,7.88,5.1,High School,Single,4,1
52,Female,814000.0,722,371000.0,60,Unemployed,9.34,5.3,PhD,Married,4,1
38,Male,887000.0,677,420000.0,24,Employed,8.69,5.5,High School,Single,1,0
51,Male,683000.0,734,524000.0,36,Self-employed,7.98,7.5,High School,Married,4,0
41,Female,875000.0,572,569000.0,36,Employed,11.84,9.0,PhD,Married,1,0
48,Male,908000.0,826,958000.0,60,Employed,4.22,5.3,Master,Married,1,0
48,Male,605000.0,752,496000.0,48,Employed,6.44,6.9,Master,Married,0,0
46,Male,1186000.0,722,498000.0,36,Employed,7.34,4.3,High School,Married,3,0
32,Male,643000.0,646,853000.0,60,Self-employed,10.62,16.3,Master,Single,0,1
54,Female,910000.0,596,1041000.0,36,Employed,11.12,14.2,Master,Married,0,0
40,Male,1240000.0,669,499000.0,24,Employed,8.93,4.5,Master,Married,1,0
36,Male,1127000.0,729,935000.0,36,Employed,7.13,7.6,PhD,Single,3,0
29,Male,821000.0,723,450000.0,24,Employed,7.31,5.3,High School,Single,1,0
47,Female,783000.0,663,554000.0,36,Employed,9.11,9.5,Bachelor,Married,1,0
49,Male,1175000.0,718,1374000.0,60,Employed,7.46,9.1,Master,Single,4,0
27,Male,1007000.0,770,2198000.0,48,Employed,5.9,14.5,Bachelor,Single,0,1
45,Male,727000.0,503,568000.0,24,Employed,13.91,13.0,High School,Married,0,0
38,Male,675000.0,679,522000.0,24,Self-employed,9.63,8.7,High School,Married,2,0
48,Male,546000.0,754,344000.0,12,Employed,6.38,5.9,Master,Married,3,0
36,Female,873000.0,702,657000.0,24,Employed,7.94,7.7,Bachelor,Married,2,1
50,Female,855000.0,727,1182000.0,12,Employed,7.19,12.2,High School,Married,3,0
42,Male,1233000.0,695,831000.0,36,Employed,8.15,5.9,Bachelor,Married,3,0
60,Male,1003000.0,844,551000.0,48,Employed,3.68,3.7,High School,Married,5,0
34,Female,1301000.0,536,397000.0,48,Employed,12.92,4.7,High School,Married,1,0
41,Male,701000.0,689,608000.0,12,Self-employed,9.33,11.1,High School,Married,2,0
33,Female,1207000.0,562,798000.0,36,Employed,12.14,8.4,PhD,Married,0,1
59,Male,786000.0,595,367000.0,24,Employed,11.15,10.4,High School,Married,0,0
56,Female,1131000.0,663,1230000.0,24,Employed,9.11,10.6,Master,Married,0,0
39,Female,583000.0,594,298000.0,36,Employed,11.18,9.9,Master,Married,2,1
49,Female,934000.0,827,689000.0,24,Unemployed,6.19,5.8,Bachelor,Divorced,0,0
54,Female,572000.0,819,441000.0,36,Unemployed,6.43,6.4,High School,Married,1,0
46,Male,800000.0,651,450000.0,48,Employed,9.47,7.0,PhD,Married,1,1
45,Female,983000.0,724,776000.0,36,Employed,7.28,7.8,Bachelor,Married,4,0
38,Male,724000.0,699,873000.0,48,Employed,8.03,10.4,High School,Single,1,0
32,Male,617000.0,770,287000.0,24,Employed,5.9,5.5,Bachelor,Married,1,0
57,Female,1159000.0,721,1028000.0,48,Employed,7.37,7.6,High School,Married,3,0
57,Female,871000.0,353,413000.0,24,Employed,18.41,10.6,Bachelor,Married,2,0
48,Female,760000.0,755,596000.0,24,Employed,6.35,6.6,Bachelor,Married,0,0
41,Male,859000.0,751,948000.0,24,Employed,6.47,8.2,Bachelor,Single,3,0
41,Female,2217000.0,693,1555000.0,36,Employed,8.21,6.1,Master,Married,3,1
51,Female,1268000.0,800,1211000.0,36,Employed,5.0,6.1,PhD,Married,1,0
57,Male,1290000.0,802,1384000.0,60,Employed,4.94,6.6,Bachelor,Married,0,0
57,Male,1018000.0,697,564000.0,48,Employed,8.09,6.1,Bachelor,Married,2,0
52,Male,924000.0,716,745000.0,36,Employed,7.52,7.7,Master,Married,3,0
48,Male,520000.0,847,371000.0,36,Employed,3.59,6.3,Bachelor,Married,2,0
32,Female,677000.0,641,414000.0,36,Employed,9.77,9.6,Bachelor,Single,0,0
35,Female,723000.0,648,410000.0,48,Employed,9.56,6.1,Master,Married,2,1
57,Female,592000.0,604,458000.0,48,Employed,10.88,9.0,PhD,Divorced,3,1
47,Female,646000.0,797,510000.0,36,Employed,5.09,8.4,Bachelor,Married,0,0
26,Male,489000.0,750,427000.0,36,Employed,6.5,6.9,High School,Single,2,0
33,Female,815000.0,571,483000.0,48,Employed,11.87,7.9,Bachelor,Married,0,0
49,Male,1125000.0,837,477000.0,24,Employed,3.89,2.6,Bachelor,Single,2,0
25,Female,1170000.0,747,860000.0,24,Self-employed,7.59,6.0,Bachelor,Married,0,0
35,Male,945000.0,781,729000.0,36,Employed,5.57,5.3,Bachelor,Single,1,0
46,Female,672000.0,530,426000.0,48,Employed,13.1,9.4,Bachelor,Divorced,3,0
50,Male,565000.0,692,300000.0,36,Employed,8.24,6.3,Bachelor,Single,1,1
49,Male,580000.0,739,257000.0,60,Employed,6.83,5.4,High School,Single,1,0
37,Female,601000.0,701,557000.0,24,Employed,7.97,9.1,PhD,Married,1,1
50,Male,696000.0,731,440000.0,36,Self-employed,8.07,6.5,PhD,Married,0,0
38,Female,801000.0,771,643000.0,36,Employed,5.87,6.4,Master,Married,0,0
40,Male,646000.0,661,378000.0,60,Employed,9.17,8.5,Bachelor,Divorced,0,1
51,Female,970000.0,781,725000.0,24,Unemployed,7.57,8.4,Bachelor,Married,2,0
49,Male,817000.0,597,414000.0,36,Employed,11.09,6.9,Master,Single,1,0
55,Male,893000.0,633,384000.0,24,Employed,10.01,7.7,Master,Married,0,0
49,Male,1256000.0,525,882000.0,36,Employed,13.25,10.8,Master,Married,1,1
46,Male,640000.0,658,326000.0,48,Self-employed,10.26,6.2,High School,Married,2,0
32,Male,937000.0,662,670000.0,36,Employed,9.14,7.2,Master,Single,0,1
41,Male,845000.0,767,756000.0,48,Self-employed,6.99,7.3,PhD,Married,2,0
39,Male,765000.0,727,423000.0,60,Employed,7.19,7.2,High School,Married,2,0
38,Male,1117000.0,676,462000.0,12,Self-employed,9.72,4.9,Bachelor,Married,0,0
64,Female,1193000.0,727,2938000.0,48,Unemployed,9.19,23.0,Bachelor,Married,3,1
42,Female,662000.0,534,301000.0,24,Employed,12.98,7.5,Master,Single,0,1
57,Male,852000.0,603,708000.0,24,Employed,10.91,9.6,High School,Married,1,1
48,Female,944000.0,721,1767000.0,36,Employed,7.37,14.5,PhD,Single,4,0
53,Female,820000.0,724,845000.0,48,Employed,7.28,8.6,High School,Married,4,1
45,Male,1030000.0,759,662000.0,36,Self-employed,7.23,5.9,PhD,Married,4,0
47,Female,941000.0,668,610000.0,12,Employed,8.96,7.9,High School,Married,4,1
45,Male,1610000.0,745,821000.0,60,Employed,6.65,4.4,High School,Single,3,0
37,Male,569000.0,735,621000.0,48,Employed,6.95,8.8,Master,Divorced,0,0
51,Male,848000.0,827,866000.0,24,Employed,4.19,5.5,PhD,Married,3,0
39,Female,659000.0,616,332000.0,36,Employed,10.52,7.2,PhD,Single,1,0
28,Female,985000.0,703,445000.0,12,Employed,7.91,4.6,High School,Married,2,0
48,Male,592000.0,715,245000.0,36,Employed,7.55,4.9,Bachelor,Married,1,1
36,Male,928000.0,849,1191000.0,36,Self-employed,4.53,6.4,High School,Married,0,0
60,Female,770000.0,611,509000.0,36,Self-employed,11.67,8.6,High School,Divorced,1,0
61,Male,754000.0,697,573000.0,24,Employed,8.09,7.4,High School,Married,1,0
58,Male,642000.0,654,299000.0,48,Employed,9.38,4.8,High School,Married,0,0
42,Female,747000.0,697,289000.0,24,Self-employed,9.09,5.7,PhD,Married,1,0
27,Female,1166000.0,621,1172000.0,36,Employed,10.37,10.9,High School,Single,1,0
59,Female,896000.0,529,517000.0,24,Employed,13.13,9.5,Master,Married,0,0
43,Female,1038000.0,708,1116000.0,36,Employed,7.76,9.9,Master,Married,3,0
63,Female,1563000.0,651,865000.0,24,Employed,9.47,5.8,High School,Divorced,2,1
62,Male,981000.0,604,549000.0,36,Employed,10.88,8.1,PhD,Married,3,0
55,Male,768000.0,648,703000.0,36,Employed,9.56,11.0,Bachelor,Married,0,0
40,Male,977000.0,531,785000.0,12,Employed,13.07,11.6,PhD,Married,1,0
42,Female,732000.0,821,833000.0,12,Employed,4.37,6.3,PhD,Married,2,1
55,Female,779000.0,710,478000.0,36,Unemployed,9.7,8.6,PhD,Married,4,0
40,Male,579000.0,770,573000.0,24,Employed,5.9,8.2,Master,Married,0,1
36,Female,1128000.0,673,1294000.0,36,Employed,8.81,11.9,Bachelor,Single,3,1
46,Male,775000.0,800,565000.0,36,Self-employed,6.0,4.8,High School,Married,4,0
60,Male,953000.0,687,520000.0,36,Self-employed,9.39,6.4,Bachelor,Married,4,0
50,Male,673000.0,708,904000.0,60,Self-employed,8.76,12.6,Bachelor,Married,4,1
46,Male,985000.0,689,509000.0,36,Employed,8.33,5.5,Master,Married,4,1
33,Female,666000.0,747,649000.0,48,Employed,6.59,9.0,Master,Single,1,0
48,Male,835000.0,707,566000.0,48,Employed,7.79,8.7,Bachelor,Married,3,0
67,Female,1202000.0,633,385000.0,60,Employed,10.01,3.8,High School,Divorced,2,0
35,Male,1072000.0,590,1130000.0,24,Employed,11.3,12.8,High School,Married,0,1
45,Male,855000.0,716,236000.0,48,Employed,7.52,3.4,Bachelor,Married,2,0
56,Female,600000.0,689,196000.0,60,Employed,8.33,3.9,High School,Divorced,1,0
51,Male,2500000.0,565,1895000.0,36,Self-employed,13.05,10.7,Master,Married,0,0
50,Male,1572000.0,666,1339000.0,36,Employed,9.02,8.4,Master,Married,1,0
50,Male,1093000.0,695,572000.0,60,Employed,8.15,5.4,High School,Married,0,1
41,Female,691000.0,774,550000.0,36,Employed,5.78,7.0,Bachelor,Married,3,0
40,Male,817000.0,553,198000.0,36,Employed,12.41,4.4,Master,Single,0,0
53,Male,765000.0,654,702000.0,48,Self-employed,10.38,10.6,Bachelor,Married,2,0
53,Male,1325000.0,773,1105000.0,36,Employed,5.81,5.7,PhD,Single,0,1
56,Male,963000.0,726,670000.0,24,Employed,7.22,5.8,High School,Married,2,0
58,Female,737000.0,638,480000.0,36,Employed,9.86,8.1,Bachelor,Married,4,0
45,Male,755000.0,780,712000.0,36,Employed,5.6,7.9,PhD,Divorced,3,0
45,Male,1236000.0,690,834000.0,48,Employed,8.3,6.1,Bachelor,Single,0,0
53,Male,1497000.0,691,506000.0,36,Employed,8.27,3.2,Bachelor,Married,1,1
49,Male,1446000.0,834,3000000.0,48,Employed,3.98,9.1,Master,Married,1,1
50,Female,1105000.0,819,1539000.0,36,Employed,4.43,6.9,Master,Married,4,1
53,Male,825000.0,657,325000.0,36,Employed,9.29,5.1,High School,Divorced,2,0
57,Female,495000.0,587,259000.0,24,Employed,11.39,8.8,Bachelor,Single,0,1
41,Male,928000.0,648,546000.0,36,Employed,9.56,6.1,Bachelor,Married,0,0
42,Male,851000.0,509,790000.0,48,Employed,13.73,14.7,Master,Single,0,0
32,Female,857000.0,493,211000.0,24,Employed,14.21,4.3,Bachelor,Married,1,0
47,Male,880000.0,666,472000.0,48,Employed,9.02,6.2,Master,Single,3,0
29,Female,570000.0,816,226000.0,24,Employed,4.52,3.3,Master,Married,1,0
44,Female,1018000.0,788,678000.0,12,Employed,5.36,4.5,Bachelor,Single,2,1
46,Male,1049000.0,694,587000.0,24,Employed,8.18,7.2,High School,Married,2,1
39,Male,1045000.0,706,753000.0,48,Employed,7.82,7.0,Bachelor,Single,1,0
47,Female,1169000.0,446,457000.0,24,Employed,15.62,7.7,High School,Married,0,0
28,Male,985000.0,616,452000.0,36,Self-employed,11.52,6.6,Master,Single,1,1
29,Male,719000.0,500,525000.0,36,Employed,14.0,12.5,Master,Single,1,0
54,Male,870000.0,753,784000.0,36,Employed,6.41,7.5,High School,Married,3,1
41,Male,871000.0,590,689000.0,36,Unemployed,13.3,12.1,PhD,Single,1,1
34,Female,855000.0,788,597000.0,36,Employed,5.36,6.2,Bachelor,Single,2,1
45,Male,1184000.0,725,657000.0,60,Employed,7.25,5.1,High School,Single,2,1
52,Male,1071000.0,620,643000.0,36,Employed,10.4,9.8,High School,Married,0,1
37,Female,1749000.0,595,1358000.0,24,Employed,11.15,9.8,Bachelor,Married,0,1
48,Male,1876000.0,721,600000.0,36,Employed,7.37,2.7,Bachelor,Married,3,1
32,Male,841000.0,799,770000.0,36,Self-employed,6.03,6.8,PhD,Single,2,0
30,Female,388000.0,744,323000.0,36,Employed,6.68,9.3,Bachelor,Single,0,0
46,Male,1291000.0,654,873000.0,60,Employed,9.38,7.3,PhD,Married,2,0
46,Female,745000.0,712,488000.0,48,Employed,7.64,7.3,High School,Married,3,1
48,Female,704000.0,644,188000.0,24,Employed,9.68,5.1,Master,Single,2,1
51,Male,788000.0,849,520000.0,36,Employed,3.53,3.1,PhD,Married,0,0
64,Male,817000.0,752,1455000.0,48,Employed,6.44,14.3,Bachelor,Married,5,1
45,Male,1039000.0,718,736000.0,60,Employed,7.46,6.2,High School,Single,3,1
40,Male,574000.0,673,337000.0,36,Employed,8.81,6.7,Bachelor,Married,1,0
53,Female,676000.0,719,480000.0,36,Self-employed,8.43,7.3,PhD,Married,1,0
39,Female,936000.0,652,723000.0,48,Employed,9.44,9.2,Master,Divorced,0,0
43,Male,1037000.0,507,779000.0,36,Employed,13.79,11.4,Master,Married,2,1
32,Female,1010000.0,666,608000.0,36,Employed,9.02,6.3,Master,Married,1,0
28,Female,646000.0,811,607000.0,60,Employed,4.67,5.9,High School,Single,1,0
62,Female,718000.0,721,1167000.0,48,Employed,7.37,12.7,Bachelor,Married,0,0
54,Male,775000.0,558,739000.0,24,Employed,12.26,12.7,High School,Married,3,0
50,Male,939000.0,793,2353000.0,36,Employed,5.21,13.7,Bachelor,Married,4,1
43,Male,1405000.0,632,681000.0,36,Employed,10.04,5.6,Master,Divorced,1,0
36,Female,513000.0,625,751000.0,60,Self-employed,11.25,19.7,Master,Single,1,0
35,Male,778000.0,640,361000.0,60,Employed,9.8,6.6,PhD,Married,0,0
38,Male,596000.0,709,489000.0,48,Employed,7.73,10.1,High School,Married,0,0
