Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Interest_Rate,Debt_To_Income_Ratio,Education_Level,Marital_Status,Previous_Loans,Default,Loan_To_Income_Ratio,Monthly_Payment,Payment_To_Income_Ratio,Credit_Score_Group,Income_Group,Term_Category,Gender_Encoded,Employment_Status_Encoded,Education_Level_Encoded,Marital_Status_Encoded,Credit_Score_Group_Encoded,Income_Group_Encoded,Term_Category_Encoded
37,Male,654000.0,670,450000.0,36,Self-employed,9.9,10.5,High School,Married,3,0,0.6880733944954128,14499.116165491134,0.26603882872460793,Low,Very_Low,Medium,1,1,1,1,1,4,1
45,Male,897000.0,687,419000.0,24,Employed,8.39,5.1,Bachelor,Married,2,0,0.46711259754738016,19024.850792657922,0.25451305408238023,Medium,Medium,Medium,1,0,0,1,2,2,1
47,Female,951000.0,681,788000.0,60,Employed,8.57,9.0,Bachelor,Single,2,0,0.8286014721345951,16193.624760371022,0.2043359591214009,Medium,High,Long,0,0,0,2,2,0,0
30,Male,553000.0,833,596000.0,36,Employed,4.01,5.6,Bachelor,Single,1,0,1.077757685352622,17598.94646408875,0.381893955821094,Very_High,Very_Low,Medium,1,0,0,2,3,4,1
47,Male,1044000.0,527,542000.0,48,Self-employed,14.19,8.3,High School,Single,3,0,0.5191570881226054,14862.65998139361,0.17083517219992655,Very_Low,High,Long,1,1,1,2,4,0,0
36,Male,1313000.0,821,1319000.0,48,Employed,4.37,5.3,Bachelor,Married,3,0,1.0045696877380046,30000.65691689062,0.27418726809039407,Very_High,Very_High,Long,1,0,0,1,3,3,0
31,Male,776000.0,710,476000.0,12,Employed,7.7,7.6,Master,Married,2,0,0.6134020618556701,41340.4956651714,0.6392860154407949,Medium,Low,Short,1,0,2,1,2,1,2
61,Female,1395000.0,765,1413000.0,24,Employed,6.05,6.4,Bachelor,Married,5,0,1.0129032258064516,62656.86171139771,0.5389837566571846,High,Very_High,Medium,0,0,0,1,0,3,1
63,Male,869000.0,675,904000.0,24,Employed,8.75,10.3,Master,Divorced,2,1,1.040276179516686,41195.391304729914,0.56886616301123,Medium,Medium,Medium,1,0,2,0,2,2,1
53,Male,1149000.0,680,1194000.0,48,Self-employed,9.6,10.8,Master,Married,4,0,1.0391644908616189,30054.075994298593,0.31388068923549445,Medium,Very_High,Long,1,1,2,1,2,3,0
40,Female,510000.0,791,407000.0,48,Employed,5.27,5.0,PhD,Single,1,0,0.7980392156862746,9422.78305549132,0.2217125424821487,Very_High,Very_Low,Long,0,0,3,2,3,4,0
33,Female,2000000.0,797,993000.0,36,Employed,5.09,3.0,High School,Married,2,0,0.4965,29801.242562971827,0.17880745537783096,Very_High,Very_High,Medium,0,0,1,1,3,3,1
49,Female,1428000.0,623,698000.0,24,Employed,10.31,5.4,Bachelor,Married,3,0,0.4887955182072829,32309.119999220195,0.27150521007748063,Low,Very_High,Medium,0,0,0,1,1,3,1
43,Female,788000.0,610,651000.0,24,Self-employed,11.7,10.1,Bachelor,Married,2,0,0.8261421319796954,30553.706241483702,0.4652848666215792,Very_Low,Low,Medium,0,1,0,1,4,1,1
34,Female,514000.0,690,1233000.0,48,Self-employed,9.3,24.4,PhD,Married,2,1,2.3988326848249026,30859.199099888625,0.7204482280129639,Medium,Very_Low,Long,0,1,3,1,2,4,0
45,Female,937000.0,799,616000.0,60,Employed,5.03,4.4,Master,Single,4,0,0.6574172892209178,11633.148326304294,0.1489837565802044,Very_High,High,Long,0,0,2,2,3,0,0
29,Male,555000.0,647,447000.0,24,Self-employed,10.59,10.4,Bachelor,Married,1,0,0.8054054054054054,20748.718499272796,0.4486209405248172,Low,Very_Low,Medium,1,1,0,1,1,4,1
58,Female,1024000.0,727,573000.0,12,Employed,7.19,5.4,High School,Married,0,0,0.5595703125,49630.02871765371,0.5816018990350045,High,High,Short,0,0,1,1,0,0,2
39,Female,956000.0,741,460000.0,36,Self-employed,7.77,4.5,Bachelor,Single,0,0,0.4811715481171548,14365.970364628049,0.18032598784051942,High,High,Medium,0,1,0,2,0,0,1
49,Female,684000.0,760,377000.0,12,Employed,6.2,7.7,Bachelor,Single,4,0,0.5511695906432749,32481.710604836153,0.5698545720146694,High,Very_Low,Short,0,0,0,2,0,4,2
40,Male,1221000.0,706,395000.0,48,Self-employed,8.82,3.8,Master,Married,1,0,0.3235053235053235,9795.86572214258,0.09627386459108186,Medium,Very_High,Long,1,1,2,1,2,3,0
45,Male,1108000.0,668,1435000.0,36,Employed,8.96,13.7,Bachelor,Single,0,0,1.2951263537906137,45605.90636474557,0.4939267837337066,Low,High,Medium,1,0,0,2,1,0,1
46,Male,1177000.0,829,413000.0,36,Employed,4.13,1.9,Bachelor,Married,3,0,0.35089209855564996,12217.30397620446,0.1245604483555255,Very_High,Very_High,Medium,1,0,0,1,3,3,1
36,Male,835000.0,717,523000.0,36,Employed,7.49,5.6,High School,Married,1,1,0.6263473053892216,16266.150228281618,0.23376503322081368,Medium,Medium,Medium,1,0,1,1,2,2,1
63,Male,660000.0,746,296000.0,36,Employed,6.62,5.5,High School,Married,3,1,0.4484848484848485,9088.28089594444,0.16524147083535343,High,Very_Low,Medium,1,0,1,1,0,4,1
52,Female,1196000.0,653,543000.0,24,Employed,9.41,5.2,Bachelor,Married,1,1,0.4540133779264214,24909.08649225639,0.2499239447383584,Low,Very_High,Medium,0,0,0,1,1,3,1
60,Male,842000.0,731,1179000.0,48,Employed,7.07,10.7,Bachelor,Married,3,1,1.4002375296912113,28270.928010268868,0.4029110880323354,High,Medium,Long,1,0,0,1,0,2,0
57,Male,646000.0,629,453000.0,36,Employed,10.13,7.8,Bachelor,Married,0,1,0.7012383900928792,14644.699914856783,0.27203776931622503,Low,Very_Low,Medium,1,0,0,1,1,4,1
47,Male,1349000.0,625,575000.0,36,Unemployed,12.25,6.5,Master,Married,3,1,0.4262416604892513,19166.958720717917,0.17049926215612676,Low,Very_High,Medium,1,2,2,1,1,3,1
59,Female,1830000.0,743,1026000.0,36,Self-employed,7.71,5.2,High School,Married,3,0,0.5606557377049181,32014.02676956111,0.20992804439056467,High,Very_High,Medium,0,1,1,1,0,3,1
32,Male,811000.0,696,404000.0,12,Self-employed,9.12,6.2,Bachelor,Single,0,0,0.49815043156596794,35352.88217991273,0.5231005994561687,Medium,Medium,Short,1,1,0,2,2,2,2
37,Male,1808000.0,735,1270000.0,12,Employed,6.95,5.4,PhD,Single,0,0,0.702433628318584,109859.69621392047,0.7291572757561093,High,Very_High,Short,1,0,3,2,0,3,2
30,Male,838000.0,633,582000.0,36,Employed,10.01,7.8,Bachelor,Married,1,0,0.6945107398568019,18782.235522092295,0.26895802656934076,Low,Medium,Medium,1,0,0,1,1,2,1
40,Male,758000.0,714,1376000.0,36,Employed,7.58,15.3,Bachelor,Married,1,1,1.8153034300791557,42852.73059429586,0.678407344500726,Medium,Low,Medium,1,0,0,1,2,1,1
42,Female,716000.0,678,236000.0,36,Employed,8.66,3.7,Bachelor,Married,3,1,0.329608938547486,7467.447957754295,0.12515275906850776,Medium,Low,Medium,0,0,0,1,2,1,1
39,Female,1476000.0,714,1019000.0,48,Self-employed,8.58,6.5,Bachelor,Single,1,1,0.690379403794038,25155.126131029232,0.20451322057747343,Medium,Very_High,Long,0,1,0,2,2,3,0
54,Male,726000.0,639,409000.0,36,Self-employed,10.83,9.2,High School,Divorced,0,0,0.5633608815426997,13357.232448787481,0.22078070163285093,Low,Low,Medium,1,1,1,0,1,1,1
41,Male,1070000.0,743,1216000.0,36,Employed,6.71,8.1,High School,Married,1,0,1.1364485981308412,37385.5274074108,0.4192769428868501,High,High,Medium,1,0,1,1,0,0,1
39,Female,720000.0,768,628000.0,24,Self-employed,6.96,8.4,High School,Married,1,0,0.8722222222222222,28105.793118592053,0.46842988530986757,Very_High,Low,Medium,0,1,1,1,3,1,1
46,Male,760000.0,630,641000.0,48,Employed,10.1,11.9,Master,Married,1,0,0.843421052631579,16288.216925301245,0.2571823725047565,Low,Low,Long,1,0,2,1,1,1,0
35,Male,1167000.0,641,887000.0,36,Employed,9.77,9.0,Bachelor,Married,2,1,0.7600685518423308,28525.3091503998,0.2933193742971702,Low,Very_High,Medium,1,0,0,1,1,3,1
53,Male,797000.0,729,385000.0,12,Unemployed,9.13,6.2,PhD,Divorced,1,1,0.48306148055207027,33692.03264579437,0.5072828001876191,High,Low,Short,1,2,3,0,0,1,2
31,Female,726000.0,738,940000.0,36,Employed,6.86,10.2,Master,Single,0,1,1.2947658402203857,28964.339324649158,0.47874941032477947,High,Low,Medium,0,0,2,2,0,1,1
66,Male,1304000.0,740,1372000.0,36,Employed,6.8,7.8,Master,Married,5,0,1.0521472392638036,42238.029684519235,0.38869352470416474,High,Very_High,Medium,1,0,2,1,0,3,1
52,Male,1492000.0,735,1656000.0,48,Employed,6.95,8.0,Master,Married,3,0,1.1099195710455765,39616.57742528507,0.3186319900156976,High,Very_High,Long,1,0,2,1,0,3,0
37,Female,1026000.0,665,1264000.0,60,Employed,9.05,12.3,High School,Married,2,1,1.2319688109161793,26269.244592036157,0.3072426268074404,Low,High,Long,0,0,1,1,1,0,0
25,Male,660000.0,666,534000.0,36,Employed,9.02,8.8,Bachelor,Married,1,0,0.8090909090909091,16986.028285647393,0.3088368779208617,Low,Very_Low,Medium,1,0,0,1,1,4,1
54,Male,774000.0,628,1025000.0,48,Employed,10.16,14.5,PhD,Married,1,1,1.3242894056847545,26075.478856197653,0.40427099001856825,Low,Low,Long,1,0,3,1,1,1,0
50,Female,895000.0,594,654000.0,12,Employed,11.18,9.5,High School,Divorced,2,0,0.7307262569832402,57856.529686841895,0.7757300069744165,Very_Low,Medium,Short,0,0,1,0,4,2,2
51,Male,965000.0,737,629000.0,36,Employed,6.89,5.8,Bachelor,Divorced,3,0,0.6518134715025907,19390.074812238003,0.24112010129207878,High,High,Medium,1,0,0,0,0,0,1
52,Female,686000.0,564,405000.0,48,Employed,12.08,8.4,High School,Single,3,1,0.5903790087463557,10681.118391379172,0.18684172113199718,Very_Low,Very_Low,Long,0,0,1,2,4,4,0
31,Male,1036000.0,815,794000.0,36,Self-employed,5.55,6.8,Bachelor,Single,0,0,0.7664092664092664,23993.456442308045,0.277916483887738,Very_High,High,Medium,1,1,0,2,3,0,1
41,Male,870000.0,774,518000.0,36,Employed,5.78,5.4,High School,Married,3,0,0.5954022988505747,15706.979800880945,0.21664799725353026,Very_High,Medium,Medium,1,0,1,1,3,2,1
34,Male,539000.0,784,911000.0,48,Employed,5.48,12.7,Bachelor,Divorced,2,0,1.6901669758812616,21178.34641922147,0.47150307426838156,Very_High,Very_Low,Long,1,0,0,0,3,4,0
56,Male,707000.0,801,619000.0,24,Employed,4.97,6.0,Master,Married,3,0,0.8755304101838756,27148.074534409006,0.46078768658119956,Very_High,Low,Medium,1,0,2,1,3,1,1
48,Male,758000.0,669,529000.0,12,Self-employed,9.93,9.0,High School,Single,1,0,0.6978891820580475,46490.283781242484,0.7359939384893269,Low,Low,Short,1,1,1,2,1,1,2
41,Female,830000.0,780,744000.0,36,Employed,5.6,5.9,Master,Married,1,0,0.8963855421686747,22499.323712096982,0.3252914271628479,Very_High,Medium,Medium,0,0,2,1,3,2,1
31,Male,1604000.0,595,3000000.0,48,Unemployed,13.15,25.6,High School,Single,1,0,1.8703241895261846,80706.01354973801,0.6037856375292121,Very_Low,Very_High,Long,1,2,1,2,4,3,0
40,Male,908000.0,495,310000.0,48,Employed,14.15,6.0,High School,Married,1,0,0.34140969162995594,8494.5520094368,0.11226280188682995,Very_Low,Medium,Long,1,0,1,1,4,2,0
40,Male,673000.0,762,348000.0,36,Employed,6.14,4.2,Bachelor,Married,0,0,0.5170876671619614,10608.923383079135,0.18916356700884043,High,Very_Low,Medium,1,0,0,1,0,4,1
51,Female,936000.0,552,315000.0,48,Employed,12.44,5.5,Master,Married,1,0,0.33653846153846156,8363.372471321405,0.10722272399130006,Very_Low,High,Long,0,0,2,1,4,0,0
48,Male,788000.0,842,565000.0,48,Employed,3.74,4.0,PhD,Divorced,1,0,0.7170050761421319,12691.53551165878,0.19327211439074282,Very_High,Low,Long,1,0,3,0,3,1,0
57,Male,984000.0,733,787000.0,12,Employed,7.01,9.5,High School,Married,2,0,0.7997967479674797,68100.17730303892,0.8304899671102307,High,High,Short,1,0,1,1,0,0,2
44,Male,1025000.0,753,611000.0,48,Employed,6.41,5.3,High School,Single,0,0,0.5960975609756097,14464.487492202643,0.1693403413721285,High,High,Long,1,0,1,2,0,0,0
34,Male,1242000.0,625,626000.0,24,Employed,10.25,7.3,Master,Married,1,1,0.5040257648953301,28959.00964104962,0.27979719459951324,Low,Very_High,Medium,1,0,2,1,1,3,1
50,Male,869000.0,732,662000.0,24,Employed,7.04,7.8,Master,Married,1,0,0.761795166858458,29651.453300111825,0.4094562020728905,High,Medium,Medium,1,0,2,1,0,2,1
52,Female,1516000.0,525,688000.0,36,Employed,13.25,6.8,High School,Married,1,0,0.45382585751978893,23264.37164232458,0.18415069901576184,Very_Low,Very_High,Medium,0,0,1,1,4,3,1
46,Male,1150000.0,777,991000.0,36,Employed,5.69,5.7,Bachelor,Married,4,0,0.8617391304347826,30009.1389013603,0.3131388407098466,Very_High,Very_High,Medium,1,0,0,1,3,3,1
52,Male,732000.0,599,774000.0,36,Employed,11.03,12.3,PhD,Married,1,0,1.0573770491803278,25350.764607317295,0.41558630503798843,Very_Low,Low,Medium,1,0,3,1,4,1,1
45,Male,1870000.0,738,1849000.0,24,Employed,6.86,7.2,High School,Divorced,0,0,0.9887700534759358,82667.19651809613,0.5304846835385847,High,Very_High,Medium,1,0,1,0,0,3,1
45,Female,949000.0,619,913000.0,24,Employed,10.43,11.8,High School,Married,1,1,0.9620653319283456,42311.74740060273,0.5350273643911831,Low,High,Medium,0,0,1,1,1,0,1
43,Male,683000.0,547,669000.0,12,Employed,12.59,13.8,Bachelor,Divorced,1,1,0.9795021961932651,59624.64643623206,1.0475779754535648,Very_Low,Very_Low,Short,1,0,0,0,4,4,2
28,Male,1452000.0,687,1127000.0,36,Employed,8.39,7.5,Master,Single,1,0,0.7761707988980716,35519.198897623355,0.2935470983274657,Medium,Very_High,Medium,1,0,2,2,2,3,1
33,Male,1737000.0,599,999000.0,48,Employed,11.03,6.6,High School,Married,0,0,0.5751295336787565,25834.233841774552,0.17847484519360657,Very_Low,Very_High,Long,1,0,1,1,4,3,0
28,Male,801000.0,746,419000.0,48,Employed,6.62,5.3,Master,Single,0,1,0.5230961298377028,9959.771740240552,0.14921006352420302,High,Low,Long,1,0,2,2,0,1,0
48,Male,758000.0,623,406000.0,48,Self-employed,11.31,8.8,Master,Single,1,0,0.5356200527704486,10554.508379966393,0.1670898424269086,Low,Low,Long,1,1,2,2,1,1,0
40,Male,804000.0,653,421000.0,36,Self-employed,10.41,6.1,Bachelor,Married,2,1,0.5236318407960199,13665.66936563225,0.20396521441242163,Low,Medium,Medium,1,1,0,1,1,2,1
45,Male,1075000.0,707,1057000.0,48,Employed,7.79,9.0,High School,Single,4,0,0.9832558139534884,25700.392572298628,0.28688810313263585,Medium,High,Long,1,0,1,2,2,0,0
58,Male,1346000.0,637,1019000.0,24,Employed,9.89,9.2,PhD,Single,4,0,0.7570579494799405,46969.96174195967,0.4187515162730431,Low,Very_High,Medium,1,0,3,2,1,3,1
38,Male,1004000.0,662,925000.0,12,Employed,9.14,11.2,Bachelor,Single,2,0,0.9213147410358565,80952.68132151796,0.9675619281456329,Low,High,Short,1,0,0,2,1,0,2
43,Male,880000.0,770,407000.0,36,Unemployed,7.9,4.7,Bachelor,Married,2,1,0.4625,12735.133371787144,0.17366090961527925,Very_High,Medium,Medium,1,2,0,1,3,2,1
52,Male,1438000.0,603,1803000.0,36,Employed,10.91,14.9,PhD,Single,1,0,1.2538247566063978,58951.0914882622,0.4919423489980156,Very_Low,Very_High,Medium,1,0,3,2,4,3,1
38,Female,767000.0,557,374000.0,48,Employed,12.29,9.2,PhD,Married,1,0,0.4876140808344198,9902.191408214298,0.154923464013783,Very_Low,Low,Long,0,0,3,1,4,1,0
32,Female,1158000.0,649,483000.0,36,Employed,9.53,5.2,Bachelor,Married,1,0,0.4170984455958549,15478.689035295336,0.16040092264554753,Low,Very_High,Medium,0,0,0,1,1,3,1
39,Female,775000.0,673,430000.0,24,Employed,8.81,7.8,Bachelor,Married,1,0,0.5548387096774193,19606.974939250686,0.30359187002710736,Medium,Low,Medium,0,0,0,1,2,1,1
35,Female,950000.0,701,2351000.0,48,Employed,7.97,21.0,High School,Single,3,0,2.4747368421052633,57361.679240423626,0.7245685798790352,Medium,High,Long,0,0,1,2,2,0,0
59,Female,874000.0,660,488000.0,36,Self-employed,10.2,7.4,PhD,Married,4,0,0.5583524027459954,15792.249760232862,0.21682722782928415,Low,Medium,Medium,0,1,3,1,1,2,1
53,Female,870000.0,763,556000.0,48,Employed,6.11,4.9,Master,Married,2,0,0.639080459770115,13085.735123255276,0.1804928982517969,High,Medium,Long,0,0,2,1,0,2,0
48,Male,783000.0,520,403000.0,48,Employed,13.4,8.3,Bachelor,Married,3,1,0.5146871008939975,10891.6598768455,0.16692199044973946,Very_Low,Low,Long,1,0,0,1,4,1,0
56,Female,1372000.0,675,864000.0,24,Employed,8.75,6.6,Master,Married,1,1,0.6297376093294461,39372.586379741864,0.34436664472077433,Medium,Very_High,Medium,0,0,2,1,2,3,1
53,Male,731000.0,663,349000.0,12,Employed,9.11,5.5,Master,Married,2,1,0.4774281805745554,30538.37084144204,0.5013138852220308,Low,Low,Short,1,0,2,1,1,1,2
36,Male,678000.0,726,514000.0,24,Employed,7.22,7.1,High School,Married,1,0,0.7581120943952803,23064.40362877942,0.4082195332527331,High,Very_Low,Medium,1,0,1,1,0,4,1
57,Female,1840000.0,829,2426000.0,12,Employed,4.13,6.4,Master,Single,1,1,1.3184782608695653,206717.79024722095,1.3481595016123105,Very_High,Very_High,Short,0,0,2,2,3,3,2
46,Male,1178000.0,694,935000.0,24,Employed,8.18,9.3,Bachelor,Married,2,1,0.7937181663837012,42364.31766198852,0.4315550186280664,Medium,Very_High,Medium,1,0,0,1,2,3,1
53,Male,536000.0,841,270000.0,36,Employed,3.77,2.7,Master,Single,1,0,0.503731343283582,7943.88061902677,0.17784807356030083,Very_High,Very_Low,Medium,1,0,2,2,3,4,1
57,Female,773000.0,642,431000.0,60,Self-employed,10.74,10.2,High School,Married,4,0,0.5575679172056921,9315.195912590492,0.14460847471033106,Low,Low,Long,0,1,1,1,1,1,0
40,Male,547000.0,510,238000.0,48,Employed,13.7,7.9,Master,Married,1,0,0.4351005484460695,6467.941644167636,0.1418926868921602,Very_Low,Very_Low,Long,1,0,2,1,4,4,0
33,Male,635000.0,598,401000.0,48,Employed,11.06,10.0,Bachelor,Divorced,0,0,0.631496062992126,10375.742708367594,0.19607702755970258,Very_Low,Very_Low,Long,1,0,0,0,4,4,0
38,Female,443000.0,666,566000.0,12,Employed,9.02,16.4,High School,Divorced,1,1,1.2776523702031604,49502.785422785884,1.3409332394434101,Low,Very_Low,Short,0,0,1,0,1,4,2
43,Female,821000.0,646,501000.0,36,Employed,9.62,9.1,High School,Divorced,0,0,0.610231425091352,16076.625937707708,0.23498113429049022,Low,Medium,Medium,0,0,1,0,1,2,1
54,Male,669000.0,566,382000.0,36,Employed,12.02,8.1,Master,Single,0,0,0.5710014947683109,12691.51567247859,0.22765050533593884,Very_Low,Very_Low,Medium,1,0,2,2,4,4,1
55,Male,905000.0,675,1479000.0,24,Employed,8.75,15.5,High School,Married,1,0,1.6342541436464089,67398.21210143312,0.8936779505162402,Medium,Medium,Medium,1,0,1,1,2,2,1
26,Male,525000.0,651,522000.0,48,Employed,9.47,11.6,Master,Single,1,0,0.9942857142857143,13106.80030510303,0.29958400697378357,Low,Very_Low,Long,1,0,2,2,1,4,0
45,Female,881000.0,579,695000.0,60,Employed,11.63,10.3,Bachelor,Married,2,1,0.7888762769580022,15330.25911061023,0.20881170184713138,Very_Low,Medium,Long,0,0,0,1,4,2,0
43,Male,760000.0,640,1318000.0,36,Employed,9.8,20.0,Master,Married,2,0,1.7342105263157894,42404.50148066069,0.6695447602209583,Low,Low,Medium,1,0,2,1,1,1,1
37,Male,1396000.0,794,1332000.0,48,Employed,5.18,5.8,Bachelor,Single,2,0,0.9541547277936963,30783.746459731487,0.2646167317455429,Very_High,Very_High,Long,1,0,0,2,3,3,0
34,Male,1340000.0,642,415000.0,24,Self-employed,10.74,3.7,Bachelor,Married,1,0,0.30970149253731344,19292.19588897892,0.1727659333341396,Low,Very_High,Medium,1,1,0,1,1,3,1
41,Male,1088000.0,742,1166000.0,36,Employed,6.74,8.0,High School,Divorced,2,0,1.0716911764705883,35864.247413452955,0.3955615523542605,High,High,Medium,1,0,1,0,0,0,1
60,Female,830000.0,717,314000.0,12,Employed,7.49,3.5,Bachelor,Married,4,0,0.3783132530120482,27240.37923863006,0.39383680826935025,Medium,Medium,Short,0,0,0,1,2,2,2
40,Male,1694000.0,674,1404000.0,24,Employed,8.78,7.9,Master,Married,0,0,0.8288075560802833,63999.7512346633,0.45336305479100336,Medium,Very_High,Medium,1,0,2,1,2,3,1
45,Female,590000.0,623,194000.0,48,Employed,10.31,6.2,Master,Divorced,1,0,0.3288135593220339,4949.273362500314,0.1006631870339047,Low,Very_Low,Long,0,0,2,0,1,4,0
50,Male,623000.0,659,336000.0,48,Employed,9.23,6.4,High School,Married,3,0,0.5393258426966292,8398.117591045926,0.16176149453057964,Low,Very_Low,Long,1,0,1,1,1,4,0
41,Female,827000.0,713,494000.0,36,Employed,7.61,5.7,Master,Divorced,2,0,0.5973397823458283,15391.440715402368,0.22333408535045757,Medium,Medium,Medium,0,0,2,0,2,2,1
63,Female,1957000.0,655,931000.0,36,Employed,9.35,5.0,High School,Divorced,1,1,0.47572815533980584,29757.438868376583,0.18246768851329534,Low,Very_High,Medium,0,0,1,0,1,3,1
62,Male,863000.0,616,467000.0,36,Employed,10.52,7.2,High School,Married,3,0,0.541135573580533,15183.045591138873,0.2111199850448047,Very_Low,Medium,Medium,1,0,1,1,4,2,1
38,Male,795000.0,576,785000.0,48,Self-employed,12.72,14.5,Bachelor,Married,0,0,0.9874213836477987,20950.655785080675,0.3162363137370668,Very_Low,Low,Long,1,1,0,1,4,1,0
45,Female,603000.0,791,337000.0,60,Self-employed,6.27,6.5,Bachelor,Married,2,0,0.5588723051409619,6557.547162799572,0.1304984510009865,Very_High,Very_Low,Long,0,1,0,1,3,4,0
